epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
110,769.291,0.97015,0.73461,0.00938,0.70433,0.68603,0.69466,0.48083,1.195,1.14503,0.01736,0.00076757,0.00076757,0.00076757
111,775.534,0.99847,0.76522,0.00967,0.71467,0.68902,0.72663,0.51855,1.16325,1.16949,0.01684,0.000759318,0.000759318,0.000759318
112,781.637,0.95298,0.71487,0.00904,0.72271,0.69949,0.73488,0.51067,1.21452,1.10175,0.01816,0.000751067,0.000751067,0.000751067
113,787.794,0.96494,0.70345,0.0094,0.72683,0.69776,0.74112,0.52583,1.22143,1.04574,0.01836,0.000742815,0.000742815,0.000742815
114,794.026,0.96904,0.7253,0.00947,0.74301,0.70833,0.7542,0.53015,1.21771,1.0577,0.01834,0.000734564,0.000734564,0.000734564
115,800.605,0.94647,0.68326,0.00888,0.78046,0.68687,0.75774,0.53145,1.21014,1.0741,0.01812,0.000726312,0.000726312,0.000726312
116,807.184,0.92156,0.66758,0.0088,0.72855,0.68919,0.75523,0.53591,1.21155,1.10725,0.01707,0.00071806,0.00071806,0.00071806
117,813.81,0.95799,0.72303,0.00893,0.74153,0.71347,0.75698,0.53934,1.20459,1.06589,0.01767,0.000709809,0.000709809,0.000709809
118,820.413,0.97458,0.71748,0.0097,0.81414,0.65404,0.76651,0.5396,1.20194,1.06532,0.01747,0.000701557,0.000701557,0.000701557
119,827.031,0.92592,0.66447,0.0084,0.79095,0.65099,0.74518,0.51498,1.23443,1.09959,0.01796,0.000693305,0.000693305,0.000693305
120,833.228,0.93906,0.68392,0.00887,0.70242,0.71739,0.7587,0.53616,1.1998,1.07349,0.01792,0.000685054,0.000685054,0.000685054
121,839.506,0.95078,0.70365,0.00883,0.73606,0.71212,0.75803,0.53563,1.18248,1.03888,0.01749,0.000676802,0.000676802,0.000676802
122,847.176,0.96724,0.73816,0.00935,0.78587,0.66671,0.74127,0.52473,1.18413,1.07914,0.01732,0.00066855,0.00066855,0.00066855
123,853.411,0.9144,0.68912,0.00923,0.68949,0.71612,0.71581,0.51461,1.17388,1.09331,0.0176,0.000660299,0.000660299,0.000660299
124,859.591,0.96784,0.73207,0.00898,0.70278,0.69359,0.7169,0.50884,1.17822,1.10072,0.01693,0.000652047,0.000652047,0.000652047
125,865.744,0.93357,0.65792,0.00861,0.72257,0.71717,0.73756,0.52543,1.20247,1.10186,0.01826,0.000643795,0.000643795,0.000643795
126,871.843,0.9264,0.6774,0.00873,0.74683,0.67045,0.73683,0.50548,1.2459,1.12762,0.01881,0.000635544,0.000635544,0.000635544
127,878.928,0.94157,0.70309,0.00904,0.68709,0.70664,0.72693,0.50386,1.24054,1.15298,0.01873,0.000627292,0.000627292,0.000627292
128,885.21,0.91581,0.64824,0.00866,0.72737,0.70196,0.73707,0.50129,1.25848,1.18097,0.01868,0.00061904,0.00061904,0.00061904
129,892.173,0.95161,0.72741,0.00922,0.70803,0.70631,0.74567,0.51625,1.21726,1.12275,0.01783,0.000610789,0.000610789,0.000610789
130,899.174,0.91809,0.69027,0.0086,0.74334,0.68012,0.74708,0.52645,1.17791,1.08428,0.01741,0.000602537,0.000602537,0.000602537
131,906.355,0.87929,0.6362,0.00832,0.73871,0.68939,0.74945,0.52487,1.18078,1.06639,0.01726,0.000594286,0.000594286,0.000594286
132,914.623,0.88367,0.63527,0.00837,0.7617,0.67503,0.75026,0.52769,1.18885,1.03934,0.01748,0.000586034,0.000586034,0.000586034
133,921.601,0.95719,0.71127,0.00913,0.80215,0.70076,0.76677,0.55101,1.15895,1.07336,0.01752,0.000577782,0.000577782,0.000577782
