epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
112,1924.57,0.8877,0.62102,0.00832,0.77773,0.74495,0.81287,0.58211,1.1148,0.95106,0.01669,0.000751067,0.000751067,0.000751067
113,1943.54,0.86425,0.58015,0.00814,0.80555,0.72727,0.80906,0.58671,1.07936,0.95567,0.01559,0.000742815,0.000742815,0.000742815
114,1963.4,0.85386,0.60975,0.00829,0.83801,0.71418,0.81422,0.59778,1.06814,0.93693,0.01588,0.000734564,0.000734564,0.000734564
115,1981.29,0.85152,0.56334,0.00795,0.77581,0.7355,0.81081,0.59337,1.05952,0.90985,0.0151,0.000726312,0.000726312,0.000726312
116,2000.55,0.85617,0.58082,0.00817,0.76528,0.71212,0.79671,0.57877,1.08537,0.97438,0.01529,0.00071806,0.00071806,0.00071806
117,2021.41,0.89401,0.60398,0.00854,0.77598,0.75126,0.80348,0.57726,1.09693,0.92091,0.01662,0.000709809,0.000709809,0.000709809
118,2039.42,0.86544,0.5979,0.00828,0.78815,0.7601,0.80743,0.58417,1.08951,0.91065,0.01577,0.000701557,0.000701557,0.000701557
119,2055.57,0.81864,0.5569,0.00758,0.75525,0.76869,0.79558,0.58049,1.04918,0.92301,0.01512,0.000693305,0.000693305,0.000693305
120,2073.5,0.83861,0.57237,0.00774,0.83229,0.68939,0.79808,0.58646,1.05965,0.89951,0.01604,0.000685054,0.000685054,0.000685054
121,2092.8,0.83824,0.56068,0.00761,0.81855,0.71829,0.79771,0.58602,1.04909,0.91824,0.01534,0.000676802,0.000676802,0.000676802
122,2111.55,0.87155,0.59352,0.0081,0.8034,0.73766,0.79654,0.59363,1.04149,0.89698,0.01555,0.00066855,0.00066855,0.00066855
123,2127.43,0.83623,0.58271,0.00776,0.78446,0.73206,0.79026,0.58115,1.07828,0.95689,0.016,0.000660299,0.000660299,0.000660299
124,2143.63,0.87284,0.59969,0.00781,0.7229,0.75195,0.77914,0.56997,1.05283,1.00368,0.01535,0.000652047,0.000652047,0.000652047
125,2161.27,0.84612,0.57992,0.00798,0.80744,0.72505,0.79707,0.58127,1.08523,0.95511,0.01618,0.000643795,0.000643795,0.000643795
126,2180.45,0.84636,0.57845,0.00787,0.87876,0.68912,0.80154,0.57895,1.07086,0.94102,0.01594,0.000635544,0.000635544,0.000635544
127,2200.61,0.85901,0.56203,0.00816,0.86336,0.68857,0.80939,0.5983,1.04554,0.90543,0.01538,0.000627292,0.000627292,0.000627292
128,2217.72,0.81876,0.55156,0.00772,0.82533,0.70413,0.8098,0.59414,1.07114,0.88656,0.01608,0.00061904,0.00061904,0.00061904
129,2233.7,0.8586,0.60452,0.00804,0.84418,0.69575,0.79716,0.57045,1.09174,1.00373,0.01627,0.000610789,0.000610789,0.000610789
130,2249.67,0.82953,0.55266,0.00784,0.82741,0.71694,0.80462,0.58941,1.06607,0.93308,0.01521,0.000602537,0.000602537,0.000602537
131,2265.66,0.81677,0.5586,0.00767,0.85561,0.7249,0.81792,0.60519,1.06085,0.9081,0.01555,0.000594286,0.000594286,0.000594286
132,2282.83,0.81188,0.54665,0.00741,0.84597,0.72601,0.82307,0.60039,1.06084,0.88398,0.01612,0.000586034,0.000586034,0.000586034
133,2298.8,0.82906,0.55876,0.00744,0.86162,0.71717,0.8311,0.60915,1.03451,0.84244,0.01485,0.000577782,0.000577782,0.000577782
134,2316.13,0.82795,0.55073,0.00779,0.88098,0.69055,0.82221,0.616,1.0391,0.86238,0.01526,0.000569531,0.000569531,0.000569531
135,2333.66,0.8393,0.56918,0.00784,0.80607,0.7404,0.82336,0.61666,0.99863,0.82952,0.01432,0.000561279,0.000561279,0.000561279
136,2351.34,0.8272,0.54134,0.00746,0.81363,0.75134,0.81782,0.60926,1.02891,0.85176,0.01505,0.000553027,0.000553027,0.000553027
137,2367.22,0.80758,0.54085,0.00758,0.79501,0.75029,0.80011,0.59755,1.01402,0.91138,0.01495,0.000544776,0.000544776,0.000544776
138,2383.24,0.8092,0.5354,0.00739,0.74881,0.7399,0.7898,0.57996,1.04908,0.96299,0.01519,0.000536524,0.000536524,0.000536524
139,2399.53,0.81772,0.52467,0.00725,0.80512,0.69961,0.79247,0.59016,1.04877,0.95699,0.0153,0.000528272,0.000528272,0.000528272
140,2415.51,0.76977,0.49876,0.00693,0.82362,0.69571,0.79342,0.59383,1.0304,0.91284,0.01502,0.000520021,0.000520021,0.000520021
141,2431.6,0.8127,0.53648,0.00752,0.83414,0.69066,0.80176,0.60102,1.04004,0.90089,0.0151,0.000511769,0.000511769,0.000511769
142,2447.68,0.76552,0.49342,0.00717,0.84733,0.70975,0.81141,0.6042,1.05031,0.89198,0.01509,0.000503517,0.000503517,0.000503517
143,2463.78,0.82622,0.54915,0.00724,0.82894,0.71465,0.80877,0.60023,1.05402,0.89628,0.01468,0.000495266,0.000495266,0.000495266
144,2481.26,0.78738,0.50649,0.00702,0.83243,0.70581,0.80961,0.6063,1.0337,0.90087,0.01456,0.000487014,0.000487014,0.000487014
145,2498.86,0.76781,0.51917,0.00703,0.80133,0.73932,0.80839,0.6116,0.99966,0.879,0.01414,0.000478762,0.000478762,0.000478762
146,2514.96,0.80027,0.52992,0.00721,0.86134,0.69697,0.80951,0.60567,1.03842,0.86432,0.015,0.000470511,0.000470511,0.000470511
147,2531.92,0.78982,0.5338,0.0071,0.80599,0.73261,0.8054,0.60594,1.02238,0.88272,0.01496,0.000462259,0.000462259,0.000462259
148,2547.95,0.79279,0.54819,0.00724,0.84935,0.7215,0.82037,0.61308,1.03049,0.85697,0.01471,0.000454007,0.000454007,0.000454007
149,2563.97,0.74648,0.46435,0.00662,0.85088,0.72266,0.82679,0.62063,1.00271,0.85493,0.01374,0.000445756,0.000445756,0.000445756
150,2581.68,0.79536,0.51276,0.00707,0.80709,0.74495,0.82207,0.62103,1.01379,0.85548,0.01378,0.000437504,0.000437504,0.000437504
151,2599,0.77723,0.46668,0.00695,0.82595,0.74087,0.81837,0.62458,1.01079,0.86509,0.01403,0.000429253,0.000429253,0.000429253
152,2616.34,0.78764,0.50318,0.00692,0.83367,0.7327,0.81302,0.61533,0.98367,0.90734,0.01303,0.000421001,0.000421001,0.000421001
153,2632.35,0.78202,0.4941,0.00723,0.82469,0.73106,0.81583,0.61338,1.02214,0.88051,0.01345,0.000412749,0.000412749,0.000412749
154,2648.37,0.76803,0.48437,0.00678,0.8354,0.72222,0.81331,0.61984,0.99255,0.8573,0.01369,0.000404498,0.000404498,0.000404498
155,2664.73,0.80654,0.51474,0.0072,0.83717,0.74154,0.80292,0.60361,1.02216,0.87796,0.01353,0.000396246,0.000396246,0.000396246
156,2683.85,0.79879,0.51919,0.00744,0.81564,0.74162,0.79893,0.60996,0.99917,0.86209,0.01362,0.000387994,0.000387994,0.000387994
157,2703.26,0.75472,0.4693,0.00662,0.82621,0.74924,0.80415,0.60746,1.01485,0.86314,0.01342,0.000379743,0.000379743,0.000379743
158,2720.83,0.81771,0.55051,0.00774,0.83652,0.7526,0.8143,0.62114,0.9998,0.84941,0.01353,0.000371491,0.000371491,0.000371491
159,2736.74,0.79261,0.52922,0.00727,0.83973,0.73722,0.81384,0.61599,1.0145,0.85644,0.01383,0.000363239,0.000363239,0.000363239
160,2752.77,0.75299,0.49717,0.00689,0.86359,0.71843,0.81698,0.61806,0.9961,0.83867,0.01353,0.000354988,0.000354988,0.000354988
161,2768.75,0.75733,0.48517,0.00656,0.83782,0.7361,0.82287,0.62976,1.00034,0.81904,0.0137,0.000346736,0.000346736,0.000346736
162,2786.68,0.75552,0.49783,0.00641,0.78084,0.78914,0.82055,0.6243,1.00692,0.84113,0.01386,0.000338484,0.000338484,0.000338484
163,2802.61,0.75516,0.50148,0.00704,0.849,0.727,0.81687,0.61002,1.01801,0.8676,0.01362,0.000330233,0.000330233,0.000330233
164,2820.5,0.77836,0.52459,0.00708,0.79063,0.74593,0.80976,0.61782,0.99371,0.86432,0.01359,0.000321981,0.000321981,0.000321981
165,2836.64,0.75246,0.48011,0.00659,0.85568,0.73359,0.8255,0.63025,0.96894,0.83852,0.01298,0.000313729,0.000313729,0.000313729
166,2853.84,0.75394,0.47376,0.00631,0.84415,0.74012,0.82337,0.62777,0.97899,0.8437,0.01291,0.000305478,0.000305478,0.000305478
167,2869.96,0.74341,0.46776,0.00676,0.80796,0.76136,0.82733,0.62847,0.98672,0.82642,0.01323,0.000297226,0.000297226,0.000297226
168,2885.91,0.7716,0.49648,0.00688,0.84232,0.73485,0.82491,0.62346,1.00389,0.84294,0.01393,0.000288974,0.000288974,0.000288974
169,2901.97,0.72741,0.4628,0.00668,0.85875,0.72854,0.82413,0.62425,0.98582,0.85916,0.01324,0.000280723,0.000280723,0.000280723
170,2918.07,0.73299,0.45429,0.00636,0.86951,0.72707,0.81906,0.62623,0.99363,0.85836,0.01358,0.000272471,0.000272471,0.000272471
171,2934.14,0.72614,0.46166,0.00651,0.83987,0.71818,0.81374,0.6266,0.98011,0.87809,0.0131,0.00026422,0.00026422,0.00026422
172,2950.24,0.75701,0.49111,0.00667,0.86804,0.71684,0.81634,0.62641,0.98452,0.88282,0.01336,0.000255968,0.000255968,0.000255968
173,2966.26,0.7723,0.48795,0.00662,0.85591,0.71469,0.81556,0.62328,0.99393,0.89221,0.01344,0.000247716,0.000247716,0.000247716
174,2982.31,0.73692,0.46204,0.00642,0.86523,0.70602,0.82016,0.61998,1.00114,0.90124,0.01336,0.000239465,0.000239465,0.000239465
175,2998.21,0.77529,0.51015,0.00667,0.86593,0.72354,0.82255,0.62636,0.97389,0.90351,0.01297,0.000231213,0.000231213,0.000231213
176,3014.13,0.70993,0.45107,0.0061,0.82602,0.73672,0.82065,0.62689,0.98152,0.87816,0.0131,0.000222961,0.000222961,0.000222961
177,3030.14,0.75339,0.4782,0.00632,0.83735,0.74495,0.82606,0.62612,0.98795,0.86522,0.01324,0.00021471,0.00021471,0.00021471
178,3046.04,0.73157,0.46796,0.00642,0.83787,0.75584,0.82789,0.6349,0.97246,0.83567,0.01307,0.000206458,0.000206458,0.000206458
179,3063.38,0.71337,0.45767,0.00627,0.86048,0.74874,0.82809,0.63815,0.9805,0.82978,0.01327,0.000198206,0.000198206,0.000198206
180,3080.55,0.77957,0.52266,0.00656,0.87447,0.74225,0.82536,0.63405,0.97591,0.8456,0.01307,0.000189955,0.000189955,0.000189955
181,3096.42,0.71903,0.43209,0.00607,0.83957,0.75126,0.8218,0.62693,0.99203,0.85026,0.01333,0.000181703,0.000181703,0.000181703
